method,user_group,ndcg,arp,poplift
BPR,HighPop,0.2556,0.1081,1.2120
LORE,HighPop,-97.78% **,-94.27% **,-172.11% **
USG,HighPop,-7.75% **,+18.96% **,+35.52% **
cp,HighPop,-0.53%,-0.58% **,-1.29% **
cp_min_js,HighPop,-7.32% **,-8.81% **,-17.32% **
mmr,HighPop,-50.40% **,-69.16% **,-126.83% **
BPR,LowPop,0.0538,0.0731,3.7704
LORE,LowPop,-61.19% **,-90.54% **,-112.51% **
USG,LowPop,-43.13% **,+111.63% **,+186.01% **
cp,LowPop,-0.13%,-0.25%,-0.38%
cp_min_js,LowPop,-27.51% **,-33.33% **,-42.93% **
mmr,LowPop,-59.93% **,-76.63% **,-96.61% **
BPR,MedPop,0.1852,0.0987,2.2101
LORE,MedPop,-91.57% **,-93.55% **,-135.84% **
USG,MedPop,-13.33% **,+35.76% **,+54.57% **
cp,MedPop,-0.34%,-0.48% **,-0.75% **
cp_min_js,MedPop,-15.66% **,-20.27% **,-30.20% **
mmr,MedPop,-51.47% **,-72.21% **,-105.20% **
BPR,All,0.1730,0.0955,2.3225
LORE,All,-91.51% **,-93.25% **,-132.05% **
USG,All,-13.53% **,+43.58% **,+95.26% **
cp,All,-0.39% **,-0.47% **,-0.68% **
cp_min_js,All,-13.93% **,-19.68% **,-32.99% **
mmr,All,-51.68% **,-72.20% **,-104.67% **
